,Master US firm name,in TFR-500,in Moodys 32,in Moodys 34,in Tenenbaum,in HB 32,in HB 34,affiliated German firms,type_Partnership,type_branch,type_ownership,type_unknown,affiliated German firm name_moodys32,Master German firm name_moodys32,mentions a subsidiary_moodys32,mentions stock ownership_moodys32,subsidiary is AG_moodys32,subsidiary is GmbH_moodys32,mentions an affilated company_moodys32,mentions a plant/office/branch_moodys32,is a subsidiary of a German firm_moodys32,other types of agreement_moodys32,affiliated German firm name_moodys34,Master German firm name_moodys34,mentions a subsidiary_moodys34,mentions stock ownership_moodys34,subsidiary is AG_moodys34,subsidiary is GmbH_moodys34,mentions an affilated company_moodys34,mentions a plant/office/branch_moodys34,is a subsidiary of a German firm_moodys34,other types of agreement_moodys34,affiliated German firm name,Master German firm name,mentions a subsidiary,mentions stock ownership,subsidiary is AG,subsidiary is GmbH,mentions an affilated company,mentions a plant/office/branch,is a subsidiary of a German firm,other types of agreement,HB 1932 affiliated German firm name,HB 1934 affiliated German firm name
22,"B. F. Goodrich Rubber Co., Akron, Ohio",False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,"['Deutsche Goodrich Compagnie G.m.b.H.', 'Continale Cautchoucgesellschaft']","['Deutsche Goodrich Compagnie G.m.b.H.', 'Continale Cautchoucgesellschaft']",True,False,False,True,False,False,False,False,,
23,Bakelite Corp.,False,False,True,False,False,False,,,,,,,,,,,,,,,,['Gorman Bakelite Corp. (Bakelite Gesellschaft)'],['Bakelite Gesellschaft'],True,True,False,True,False,False,False,False,,,,,,,,,,,,
24,Bausch & Lomb Optical Co.,False,False,True,False,False,False,,,,,,,,,,,,,,,,"['Bausch & Lomb Optical Co., G.m.b.H., Frankfort a. M., Germany']",[''],False,False,False,False,True,True,False,False,,,,,,,,,,,,
25,Bavarian oil and Gas Corporation,True,False,False,False,True,True,['Bayerische Mineral-Industrie A.G.'],False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bayerische Mineral-Industrie Aktiengesellschaft'],['Bayerische Mineral-Industrie Aktiengesellschaft.']
26,Bedford Construction Co.,True,False,False,False,False,False,['Deutsche Maizena Werke A. G.'],False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Berth, Levi & Co. Inc.",True,False,False,False,False,False,['The Overseas Casing Co. m.b.H.'],False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Blaw-Knox Co.,False,True,True,False,False,False,,,,,,"['Blaw-Knox G.m.b.H., Dusseldorf, Germany']",[''],False,False,False,False,True,True,False,False,"['Blaw-Knox G.m.b.H., Dusseldorf, Germany']",[''],False,False,False,False,True,True,False,False,,,,,,,,,,,,
29,Brown Harrimann & Company Incorporated,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Ilseder Hütte. ']
30,Buffalo Electro-Chemical Co.,False,True,True,False,False,False,,,,,,"['M. Merck of Munich, Germany; Electrochemical Works of Munich, Germany']",[''],False,False,False,False,False,False,False,True,"['E. Merck of Munich, Germany; Electrochemical Works of Munich, Germany']",[''],False,False,False,False,False,False,False,True,,,,,,,,,,,,
31,Burroughs Adding Machine Company,True,True,True,True,False,False,['Deutsche Burroughs Rechenmaschinen A.G.'],False,False,True,False,[''],[''],True,False,False,False,False,False,False,False,[''],[''],True,False,False,False,False,False,False,False,['Deutsche Burroughs Rechenmaschinen A. G.'],['Deutsche Burroughs Rechenmaschinen AG'],True,False,True,False,False,False,False,False,,
32,Butler Brothers,True,False,False,False,False,False,"['Butler Brothers, G.m.b.H.']",True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Carnation Co.,False,True,False,False,False,False,,,,,,[''],[''],False,False,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,,,
34,Carrier Corporation,False,True,False,False,False,False,,,,,,['Carrier Lufttechnische Gesellschaft'],['Carrier Lufttechnische Gesellschaft'],False,False,False,False,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,
35,Celotex Co.,False,True,True,False,False,False,,,,,,[''],[''],False,False,False,False,False,True,False,False,"['', 'W. H. Nilsson']","['', 'Deutsche Celotex Vertrieb']",True,True,False,False,False,True,False,False,,,,,,,,,,,,
36,Central American Plantations Corp.,False,True,False,False,False,False,,,,,,[''],[''],False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
37,Central Cuba Sugar Co.,False,True,True,False,False,False,,,,,,[''],[''],False,False,False,False,False,False,False,False,[''],[''],False,False,False,False,False,False,False,True,,,,,,,,,,,,
38,Central European Holding Corporation c/o Cotton Brenner & Wrigley,True,False,False,False,False,False,"['Metallkentor, G.m.b.H.']",False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Chemical Research Corp.,False,False,True,False,False,False,,,,,,,,,,,,,,,,[''],[''],False,False,False,False,False,False,False,False,,,,,,,,,,,,
40,Chesebrough Manufacturing Co. Consolidated,True,False,False,False,False,False,['Chesebrough Manufacturing Co. G.m.b.H.'],False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Chicago Pneumatic Tool Co.,True,True,True,True,False,False,"['Internationale Pressluft und Elektricitats Gesellschaft m.b.H. (Ipeg)', 'Pressluftwerkung und Maschinenbau Aktiengesellschaft (Premag)', 'Pressluftwerkung und Maschinenbau Aktiengesellschaft (Premag)']",False,False,True,False,"['Internationale Pressluft & Electricitäts Gesellschaft m. b. H. (International Compressed Air and Electric Co.) Berlin - Britz, Germany', 'Presaluft-Werkzeug und Maschinenbau A.G. “Premag"", Berlin, Oberechoeneweide, Germany.']","['Internationale Pressluft und Elektricitats Gesellschaft m.b.H. (Ipeg)', '']",True,False,True,True,False,False,False,False,"['Internationale Pressluft & Elektricitäts Gesellschaft m.b.H. (International Compressed Air and Electric Co.)', 'Berlin-Oberschoeneweide, Germany', 'Pressluft-Werkzeug und Maschinenbau A.G. ""Premag"" (Berlin-Oberschoeneweide, Germany)']","['Internationale Pressluft und Elektricitats Gesellschaft m.b.H. (Ipeg)', 'Berlin-Oberschoeneweide, Germany', '']",True,False,True,True,False,False,False,False,"['Internationale Pressluft -und Elektrizitäts G.m.b.H.', 'Pressluft-Werkzeug und Maschinenbau A. G. ""Premag""']","['Internationale Pressluft und Elektricitats Gesellschaft m.b.H. (Ipeg)', 'Pressluftwerkzeug und Maschinenbau AG (Premag)']",True,False,True,True,False,False,False,True,,
