US Company,TFR-500,Tenenbaum,Moodys 32,Moodys 34,HB 32,HB 34,HB GmbH
The Durer Corporation,True,False,False,False,False,False,False
The Fairbanks Company,True,False,False,False,False,False,True
The Forak Company,True,False,False,False,False,False,False
The Goodyear Tire & Rubber Company,False,True,False,True,True,True,False
The Guardian Life Insurance Company of America,True,False,False,False,False,False,False
The Hobart Manufacturing Company,True,False,True,True,False,False,True
The Hollerith Co.,False,True,False,False,False,False,False
The Hoover Co.,True,False,False,False,False,False,False
The International Button Hole Sewing Machine Company,True,False,True,True,False,False,True
"The International Nickel Company, Inc.",True,False,False,False,False,False,False
The Lambert Company,False,False,False,True,False,False,False
The May Department Store Co.,False,False,False,True,False,False,False
The Melltone Corporation,True,False,False,False,False,False,False
The National Acme Co.,False,False,False,False,True,True,False
The National Cash Register Company,True,True,False,True,False,False,False
The North American Provision Company,False,False,False,True,False,False,False
The Permutit Company,True,False,False,False,False,False,False
The Pfaudler Co.,True,False,True,True,True,False,False
The Pure Oil Company,True,False,False,False,False,False,False
"The Scholl Mfg. Co., Inc.",True,False,False,False,False,False,False
The Silica Gel Corporation,False,False,True,True,False,False,False
The Stanley Works,True,False,True,False,False,False,False
The Timken Roller Bearing Company,False,True,True,True,False,False,False
The Torrington Company,True,True,True,True,False,False,False
The Westinghouse Air Brake Company,True,False,False,False,False,False,False
The Willys-Overland Company,False,False,True,True,False,False,False
The Yale & Towne Manufacturing Company,True,True,True,True,True,False,False
Tide Water Associated Oil Co.,True,True,False,True,False,False,False
"Titan Company, Inc.",True,False,False,False,False,False,False
Titeflex Metal Hose Co.,True,False,False,False,True,True,False
Tobe Deutschmann Corp.,False,False,False,True,False,False,False
Trubenizing Process Corporation,True,False,False,False,False,False,False
Turner tanning Machinery Co.,False,False,True,False,False,False,False
Twentieth Century-Fox Film Corp.,True,True,True,True,True,False,False
U.S. Bronze Powder Works Inc.,False,False,False,False,True,False,False
Underwood Elliott Fisher Company,True,True,True,True,True,True,True
Union Banking Corp. Cornelis Lievense,False,False,False,False,True,False,False
Union Special Machine Co.,True,False,False,False,False,False,False
United American Bosch Corporation,False,False,True,True,False,False,False
United Continental Corporation,True,False,False,False,False,False,False
United Fruit Company,True,False,False,False,False,False,False
United Press Associations,True,False,False,False,False,False,False
United Shoe Machinery Corporation,True,False,False,False,False,False,True
United States Hoffman Machinery Corporation,True,True,False,True,False,False,False
"United States Lines Operations, Inc.",True,False,False,False,False,False,False
United States Steel Corporation,False,False,True,False,False,False,False
"United Statess Lines, Co.",True,False,False,True,False,False,False
"Universal Picture Co., Inc.",True,True,False,True,False,False,False
Valvoline Oil Co.,False,False,False,True,False,False,False
"W. A. Harriman & Co., Inc., New York.",False,False,False,False,True,True,False
"W. A. Harriman & Co., New York",False,True,False,False,False,False,False
Walter Kidde & Company,True,False,False,False,False,False,False
Warner Bros,False,False,False,False,True,False,False
Watch Tower Bible & Tract Society,True,False,False,False,False,False,False
Waterman Steamship,True,False,False,False,False,False,False
Western Electric Export Corporation,True,False,False,False,False,False,False
Westhold Corporation,True,False,False,False,False,False,False
Westinghouse Electric International Co.,False,True,False,False,False,False,False
"William R. Warner & Co., Inc.",True,False,False,False,False,False,False
William Rhodes Davis,False,True,False,False,False,False,False
Witroth Corporation,True,False,False,False,False,False,False
Wm. Wrigley Jr. Company,False,True,False,True,True,True,False
Worthington Pump and Machinery Corp.,True,True,True,True,False,False,False
