firm_id,firmname,firmname_page,firmname_start_line,firmname_end_line,next_firmname_start_line
164,Deutsche Zweckspar- Aktien - Gesellschaft,261,4163,4163,4188
165,„Tempo“ Bauspar-Aktiengesellschaft,261,4188,4188,4206
166,"Landeredit-Bank Sachsen-Anhalt, Aktiengesellschaft",261,4206,4206,4273
167,Bank für Industrie und Landwirtschaft A.-G.,262,4273,4273,4297
168,Eigenheim u. Hypotheken Aktiengesellschaft Hamburg,263,4297,4297,4308
169,Elbebank Akt.-Ges.,263,4308,4308,4333
170,"Elektro -Treuhand Aktiengesellschaft in Liqu., Hamburg.",263,4333,4333,4357
171,Hamburger Bankverein Akt.-Ges. in Liqu. in Hamburg.,264,4357,4357,4370
172,Hamburger Handels-Bank in Liqu.,264,4370,4370,4396
173,Hamburger Revisions- u. Treuhand-Akt.-Ges.,264,4396,4396,4418
174,„Hansa“ Treuhand Aktien-Gesellschaft,265,4418,4418,4442
175,Industrie- und Handels-Kredit-Aktiengesellschaft,265,4442,4442,4466
176,Industrie- und Wirtschafts-Bank Akt.-Ges.,265,4466,4466,4494
177,Kreditverwaltungs-Aktiengesellschaft,266,4494,4494,4511
178,Norddeutsche Bau-Treuhand Aktien-Gesellschaft,266,4511,4511,4532
179,"Nordische Handels- u. Effecten-Bank, Akt.-Ges, Hamburg.",266,4532,4532,4544
180,Waaren-Commissions-Bank,267,4544,4544,4571
181,Bank für Niedersachsen Akt.-Ges. in Liqu. in Hannover.,267,4571,4571,4585
182,"Hafuhag Spar-, Kredit- und Wirtschaftsgemeinschaft",267,4585,4585,4609
183,Immobilien Bank Akt.-Ges.,268,4609,4609,4628
184,Nordwestdeutsche Bank Akt.-Ges. in Liqu.,268,4628,4628,4646
185,Wirtschaftsbank für Niederdeutschland Aktiengesellschaft,268,4646,4646,4705
186,Finanzierungs-Akt.-Ges. für Elektrotechnik u. Maschinenbau,269,4705,4705,4731
187,Dörphofer Spar- und Leihkasse in Liqu. in Karby.,269,4731,4731,4737
188,"Badische Treuhand-Gesellschaft, Akt.-Ges.",269,4737,4737,4761
189,Handels- und Gewerbebaunk A.-G.,270,4761,4761,4799
190,Schaffer-Bank Gemeinnützige Aktiengesellschaft,270,4799,4799,4809
191,Treuhand u. Inkasso-Akt.-Ges. für Genossenschaften,271,4809,4809,4836
192,Treuhand-Aktiengesellschaft Rhein in Karlsruhe.,271,4836,4836,4849
193,"Kredit-Age, Kredit-Aktien-Gesellschatt,",271,4849,4849,4858
194,"Gewerbe- und Landwirtschaftsbank Kipfenberg, Akt.-Ges.",271,4858,4858,4865
195,"Volksbank, Aktien-Gesellschaft in Liqu. zu Kirchen a.d.Sieg.",271,4865,4865,4874
196,"Coblenzer Bank,  Akt.-Ges., Koblenz. (in Konkurs.)",272,4874,4874,4902
197,"Coblenzer Handelsbank, Akt.-Ges.",272,4902,4902,4930
198,"Creditbank Mittelrhein, K.-G. a. A. in Liqu. in Koblenz.",272,4930,4930,4943
199,Bankkontor Aktiengesellschaft,273,4943,4943,4966
200,Bauspar-Aktiengesellschaft,273,4966,4966,4971
201,schafts- Akt.-Ges.,273,4971,4971,4989
202,Bausparkasse Germania Aktiengesellschaft,273,4989,4989,5029
203,Bausparkasse Roland Aktiengesellschaft in Liqu.,274,5029,5029,5050
204,Deutsch-Holländische Bank Akt.-Ges. in Liqu. in Köln.,274,5050,5050,5055
205,Deutsche Revisions- u. Organisations-Akt.-Ges. in Liqu.,274,5055,5055,5065
206,„Freies Heim“ Bauspar-Aktiengesellschaft,275,5065,5065,5084
207,Mittelrheinische Treuhandaktiengesellschaft,275,5084,5084,5102
208,"Rheinisch-Westfälischer Bankverein A.-G. in Liqu., Köln.",275,5102,5102,5110
209,Rheinische Bauernbank Aktiengesellschaft,275,5110,5110,5184
210,Rheinische Kredit-Anstalt K.-G. a. A.,276,5184,5184,5220
211,Rheinland Aktiengeseilschaft Bausparkasse in Liqu.,277,5220,5220,5227
212,Vereinigte Rheinisch-Westfälische und Ebag Bausparkasse Aktiengesellschaft,277,5227,5228,5250
213,"Getreide-Kredit Aktiengesellschaft in Liqu.,",277,5250,5250,5262
214,Lombard Aktiengesellschaft,278,5262,5262,5283
215,"Deutsche Investment-Gesellschaft, Aktiengesellschaft",278,5283,5283,5294
216,Treuhand und Revisions Akt.-Ges. Niederrhein,278,5294,5294,5318
217,"Württembergischer Spar- u. Hypothekenverein, Akt.-Ges.",278,5318,5318,5370
218,"Landbank, Akt.-Ges., Kunzendorf",279,5370,5370,5389
219,*Sparkraft-Aktiengesellschaft für Kapitalbildung,279,5389,5389,5407
220,"Aktiengesellschaft für Wirtschaftsberatung, Revision und Treuhandwesen",280,5407,5408,5424
221,Bankhaus Bühl & Co. Kommanditgesellschaft auf Aktien,280,5424,5424,5462
222,Effekten- und Wechselbank Aktien-Ges. in Liqu.,281,5462,5462,5482
223,Fram Revisions & Treuhand-Union,281,5482,5482,5509
224,„Herold“ Neue Deutsche Zwecksparkasse Akt.-Ges.,281,5509,5509,5530
225,Hypothekenkasse Aktiengesellschaft,282,5530,5530,5560
226,Kroch jr. K.-G. a. A.,282,5560,5560,5584
227,Leipziger Credit-Bank in Liqu.,282,5584,5584,5632
228,Rossberg-Treuhand-Aktiengesellschaft,283,5632,5632,5670
229,Spar- und Creditkasse Aktiengesellschaft,284,5670,5670,5689
230,Bank of England in London.,284,5689,5689,5762
231,"Getreide-Kreditbank A.-G., Magdeburg.",285,5762,5762,5769
232,Magdeburger Bau- und Credit-Aktiengesellschaft,285,5769,5769,5795
233,"Getreide-Kreditbank Akt.-Ges., Mainz. (in Konkurs.)",286,5795,5795,5805
234,„Fides“ Aktiengesellschaft für Revisions- u. Treuhandwesen,286,5805,5805,5826
235,Treuhand Kurpfalz Akt.-Ges.,286,5826,5826,5847
236,"Bayerische Eisenbahnerbank Akt.-Ges., München.",286,5847,5847,5864
237,Bayerische Landesproduktenbank Akt.-Ges. in Liqu.,287,5864,5864,5885
238,Commereialbank Akt.-Ges.,287,5885,5885,5905
239,"Immobilien- u. Baubank Akt.-Ges., in Liqu., München.",287,5905,5905,5918
240,Kontroll- u. Verwaltungs-Akt.-Ges.,288,5918,5918,5936
241,Münchener Allgemeine Treuhand Aktiengesellschaft,288,5936,5936,5962
242,Münchener Bauspar Aktiengesellschaft,288,5962,5962,5986
243,Münchener Revisions- und Treuhand-Aktiengesellschaft,289,5986,5986,6007
244,Pan-Bank Aktiengesellschaft in München.,289,6007,6007,6013
245,Süddeutsche Baukredit-Aktiengesellschaft (Bausparkasse),289,6013,6013,6037
246,"Süddeutsche Kreditbank Akt.-Ges. in Liqu, München",289,6037,6037,6043
247,"Südosteuropäische Bank-Akt.-Ges. in Liqu, München.",290,6043,6043,6050
248,Unitas Vermögensverwaltungs-Aktiengesellschaft,290,6050,6050,6069
249,Treuhand-Akt.-Ges. vorm. Krumpe & Friedrich,290,6069,6069,6098
250,„Westfalia* Treuhand-Aktiengesellschaft,290,6098,6098,6119
251,Vermögensverwaltungs-Aktiengesellschaft,291,6119,6119,6136
252,Bankverein für Schleswig-Holstein Akt.-Ges.,291,6136,6136,6143
253,"Bankhaus Lahr & Cie. Akt.-Ges. in Liqu,,",291,6143,6143,6147
254,Akt.-Ges. für Finanzierung elektrischer Unternehmungen,291,6147,6147,6151
255,Bayern-Bauspar-Aktiengesellschaft,291,6151,6151,6157
256,versicherungsunternehmungen.,291,6157,6157,6165
257,Fritz Neumeyer Akt.-Ges.,292,6165,6165,6199
258,Treuhandbank für das graphische Gewerbe Akt.-Ges.,292,6199,6199,6204
259,"Vermögens-Schutz-Vereinsbank, Akt.-Ges., Nürnberg.",292,6204,6204,6213
260,"Oebisfelder Bank Aktiengesellschaft in Liqu.,",292,6213,6213,6231
261,"Hohenlohebank Akt.-Ges. in Liqu., Oehringen.",293,6231,6231,6247
262,"Osterholz-Scharmbecker Bank, A.-G. in Liqu.",293,6247,6247,6255
263,Vogtländisch-Erzgebirgische Treuhand-Akt.-Ges.,293,6255,6255,6283
264,"Vogtländische Creditbank Akt.-Ges, Plauen i. V.",293,6283,6283,6296
265,Deutsche Bauspar-Aktiengesellschaft Potsdam,294,6296,6296,6317
266,Gewerbe- u. Landwirtschaftsbank Akt.-Ges.,294,6317,6317,6336
267,"Pyrmonter Bank Akt.-Ges., Bad Pyrmont.",294,6336,6336,6343
268,Waldeckische Bank Akt.-Ges. in Bad Pyrmont.,294,6343,6343,6353
269,Radevormwalder Volksbank Garsehagen & Co.,295,6353,6353,6377
270,"Altrahlstedter Bank A.-G., Rahlstedt.",295,6377,6377,6384
271,Bergische Bank Aktiengesellschaft,295,6384,6384,6418
272,"Deutsch-Amerikanische Bank A.-G. in Liqu., Rosslau a. E.",296,6418,6418,6425
273,Fides Akt.-Ges. für Revisionen und Treuhandschaften,296,6425,6425,6447
274,"Continentale Handelsvereinigung Akt.-Ges., Saarbrücken.",296,6447,6447,6449
275,Treuhand Aktiengesellschaft für Saar- und Rheinland,296,6449,6449,6472
276,"Anton Raky Internationale Bank für Montanindustrie und Handel Akt.-Ges., Salzgitter a. H.",296,6472,6473,6486
277,Spar- und Vorschuss-Verein A.-G.,297,6486,6486,6503
278,"Mecklenburgische Bank in Liqu., Schwerin i. Meckl.",297,6503,6503,6513
279,Mecklenburgische Getreide-Kredit-Akt.-Ges.,297,6513,6513,6547
280,"Export- u. Handelsbank Akt.-Ges., Sebnitz i. Sa.",298,6547,6547,6559
281,Kreisbauernbank Akt.-Ges.,298,6559,6559,6596
282,Schwarzburgische Landesbank zu Sondershausen in Liqu.,298,6596,6596,6613
283,Gewerbebank Speyer Akt.-Ges. in Liqu. in Speyer.,299,6613,6613,6617
284,"Ruhrtaler Bank, Aktiengesellschaft",299,6617,6617,6631
285,Akt.-Ges. für Effekten- und Emissionsverkehr,299,6631,6631,6648
286,Stolper Bank Akt.-Ges.,299,6648,6648,6684
287,Bausparkasse Schwabentreue Aktiengesellschaft,300,6684,6684,6709
288,Süddeutsche Treuhand-Aktiengesellschaft,300,6709,6709,6733
289,Württembergische Privatbank Akt.-Ges.,301,6733,6733,6740
290,Chiemgauer Volksbank Akt.-Ges. in Traunstein,301,6740,6740,6746
291,"Gewerbebank Akt.-Ges., Trier.",301,6746,6746,6761
292,"Ruhr- u. Hellweg-Bank Akt.-Ges. in Liqu., Unna.",301,6761,6761,6771
293,"Vareler Bankverein, Akt.-Ges. in Liqu., Varel.",301,6771,6771,6777
294,Waldenburger Handels- und Gewerbebank Akt.-Ges.,301,6777,6777,6789
295,"Nordbayerische Bank für Industrie u. Landwirtschaft K.-G. a. A., Weiden (Opf.).",302,6789,6790,6816
296,"Bank für Handel und Landwirtschaft, Akt.-Ges.",302,6816,6816,6856
297,Nassauische Landwirtschaftsbank Akt.-Ges. in Liqu.,303,6856,6856,6876
298,"Wildenfelser Bank, Akt.-Ges., Wildenfels.",303,6876,6876,6879
299,"Ederkreisbank Akt.-Ges. in Liqu, Bad Wildungen.",303,6879,6879,6884
300,Aktienbank der Jadestädte Akt.-Ges.,303,6884,6884,6904
301,"Ermländische Bank Schumacher & Dittrich, Akt.-Ges.",303,6904,6904,6910
302,Bergisch-Märkische Industrie-Gesellschaft,303,6910,6910,6979
303,Deutsch-Osteuropäische Wirtschaftsbank Akt.-Ges.,304,6979,6979,7012
304,„Fides“ Treuhand-Akt.-Ges.,305,7012,7012,7032
305,"Gemeinschaft der Bauwirte, Aktiengesellschaft in Liqu.",305,7032,7032,7045
