band,page,firmname
1,425,Deutsche Nähmaschinenfahrik von Jos. Wertheim Akt.-Ges.
1,426,"„Dux“ Akt-Ges., Metallwarenfabrik Deutscher Gas-, Wasser- u. Elektrizitätswerke in Liqu."
1,426,Fischer Akt-Ges. für Apparatebau.
1,426,Carl Heinze Maschinenfabrik Aktiengesellschaft.
1,427,Metallgesellschaft Aktiengesellschaft.
1,431,Nica Nickel-Industrie Aktiengesellschaft.
1,431,Eisenwerke Gaggenau Akt.-Ges. in Liqu.
1,431,Blech- und Metallwarenfabrik Aktiengesellschaft.
1,432,Hundt & Weber vormals Metallwerk Beckmann Akt.-Ges.
1,432,Gebr. Dörken Aktiengesellschaft.
1,433,Maschinenfabrik Fahr Aktiengesellschaft.
1,433,Maschinenbau-Aktiengesellschaft Golzern-Grimma.
1,434,"Blohm & Voss, Kommanditgesellschaft auf Aktien. ///"
1,435,Decotric Aktien-Gesellschaft.
1,435,Elka-Werke Aktiengesellschaft.
1,436,Wagner-Hochdruck-Dampfturbinen-Akt.-Ges.
1,436,Westfälische Drahtindustrie.
1,438,Eisenwerk Wülfel.
1,440,H. Fuchs Waggon-Fabrik A.-G.
1,441,"Gechter & Kühne, Aktiengesellschaft."
1,442,Hugo Engelmann & Co. Akt.-Ges.
1,442,Dorstener Eisengiesserei und Maschinen-Fabrik A.-G. III
1,443,"Gebrüder Keusch, Aktiengesellschaft."
1,443,Chr. Metzger & Cie. A.-G. Maschinenfabrik und Eisengießerei. Maschinenfabrik und Eisengießerei.
1,443,Federnwerke Vogelsang Aktiengesellschaft.
1,443,"Maschinen- u. Werkzeugfabrik Kabel Vogel & Schemmann, Aktiengesellschaft."
1,444,Eisenwerk Kaiserslautern.
1,445,Zschocke-Werke Kaiserslautem Aktien-Gesellschaft.
1,446,Federstahl Aktiengesellschaft.
1,447,Fried. Krupp Germaniawerft Aktiengesellschaft.
1,447,Felten & Guilleaume-Eschweiler Draht Aktiengesellschaft.
1,448,J. Pohlig Aktiengesellschaft.
1,449,„Stahlum“ Stahl- und Maschinen-Aktiengesellschafi
1,449,Vereinigte Westdeutsche Waggonfabriken Aktiengesellschaft (Westwaggon).
1,450,Roto- u. Debego-Werke Aktiengesellschaft.
1,450,Maschinenfabrik Aktiengesellschaft vorm. Wagner & Cc. //
1,452,"Carl Urbach & Co., Aktiengesellschaft."
1,453,Deutsche Edelstahlwerke Aktiengesellschaft.
1,454,"Niederrheinische Maschinenfabrik Becker & van Hüllen, Akt.-Ges."
1,454,Vereinigte Aluminium-Werke Aktiengesellschaft zu Lautawerk.
1,456,"Lauterberger Blechwarenfabrik, Aktiengesellschaft."
