band,firmname_page,firmname
1,525,"bahnwagen, Strassenbahn- u. POWER RER. FeR Las kraftwaren, Kraftomnibusse, w eakstoßt-"
1,527,A. Bizer Aktiengesellschaft
1,527,Vereinigte Metallwerke Akt.-Ges. in Liqu. im Barnsdorf
1,527,"Mercedes Büromaschinen-Werke Aktiengesellschaft,"
1,528,"Akt.-Ges. für Industrie- u. Eisenbahnbedarf in Berlin,"
1,528,Ambi Waggon- und Apparatebau Akt.-Ges.
1,529,Andree-Hauschild-Werk Actiengesellschaft
1,529,Aqnatherm Akt.-Ges. in Liqu.. Berlin.
1,529,Automobilvertrieb Kurfürstendamm Akt.-Ges. in Liqu.
1,529,Bamag-Meguin Aktiengesellschaft
1,533,Berliner Maschinenbau-Akt.-Ges. vormals L.
1,533,chwartzkopff
1,534,Berliner Metallwarenfabrik. Akt.-Ges..
1,535,Deutsche Babceock & Wileox-Dampfkessel-Werke A.-G.
1,536,"Deutsche Industrie-Werke, Akt.-Ges."
1,537,Emaille-Weburg Aktiengesellschaft.
1,537,Erze und Metalle Hirsch Aktiengesellschaft
1,537,Carl Flohr Aktien-Gesellschaft
1,539,Freund-Stahl-Aktiengesellschaft in Liqu.
1,539,Gerlach’s Dauerlüfter Aktiengesellschaft
1,540,"Curt von Grueber, Maschinenbau, Akt.-Ges."
1,540,Hahnsche Werke Act.-Ges.
1,541,"Walter Hoene Akt.-Ges. in Liqu., Berlin-Charlottenburg."
1,541,Internationaler Maratti-Maschinenverkauf- Aktiengesellschaft Berlin
1,542,Otto Jachmann Akt.-Ge
1,542,Heinrich Kämper Motorenfabrik Akt.-Ges.
1,543,Kalker Maschinenfabrik und A. W. G. Allgemeine Werkzeugmaschinen-Aktiengesellschaft
1,544,"Kleinschanzlin-Pumpen und Armaturen Akt.-Ges.,"
