,Master US firm name,Master German firm name,in TFR-500,in Moodys 32,in Moodys 34,in Tenenbaum,HB GmbH class,IDed in HB GmbH
150,"Hugo Stinnes Industries, Inc.",Koenigsberger Kohlen & Koks G.m.b.H.,True,False,False,False,,False
151,Combustion Engineering Co. Inc.,"Kohlenscheidungs-Gesellschaft, m.b.H.",True,True,False,False,,False
152,Kraft Cheese Company,Kohler-Werke G.m.b.H.,True,False,False,True,,False
153,"Hugo Stinnes Industries, Inc.",Kohleverkauf Ludwig Jung G.m.b.H.,True,False,False,False,,False
154,Crown Cork International Corporation,"Korkfabrik, Frankenthal Bender & Co., of Frankenthal, Germany",False,True,False,False,,False
155,Kraft Cheese Company,Kraft Kaese Werke G.m.b.H.,True,False,False,True,USO,True
156,L. C. Smith & Corona Typewriters Inc.,L. C. Smith & Corona Schreihmaschinen G.m.b.H.,True,True,True,False,,False
157,Kraft Cheese Company,Lindor Werke G.m.b.H.,True,False,False,True,,False
158,Mergenthaler Linotype Company,"Linotype, G.m.b.H.",True,False,False,False,,False
159,International Telephone and Telegraph Corp.,Lorenz Radio Vertriebe G.m.b.H.,True,False,False,True,,False
160,International Telephone and Telegraph Corp.,Ludwig Sudicates G.m.b.H.,True,False,False,True,,False
161,International Telephone and Telegraph Corp.,Ludwig Sudicatis G.m.b.H.,True,False,False,False,,False
162,"Hugo Stinnes Industries, Inc.",M. Rast & Sohn G.m.b.H.,True,False,False,False,,False
163,Corn Products Refining company,Maizenhaus Gesellschaft m.b.H.,True,False,False,False,,False
164,"New England Industries, Inc.",Maschinen-Export G.m.b.H.,True,False,False,False,,False
165,"Robert Reiner, Incorporated",Maschinenfabril EINSIEDEL G.m.b.H.,True,False,False,False,,False
166,Gulf Oil Corporation,Maschinenoel Import Gesellschaft m.b.H.,True,False,False,False,,False
167,"Hugo Stinnes Industries, Inc.",Mathias Stinnes G.m.b.H.,True,False,True,True,,False
168,Jadev Corporation,Mecklenburgische Erdol G.m.b.H.,True,False,False,False,,False
169,Mergenthaler Linotype Company,"Mergenthaler Setzmaschinen-Fabrik, G.m.b.H.",True,True,True,True,,False
170,Central European Holding Corporation c/o Cotton Brenner & Wrigley,"Metallkentor, G.m.b.H.",True,False,False,False,,False
171,The Torrington Company,"Metallkentor, G.m.b.H.",True,False,False,False,,False
172,Metallic Products Corp. c/o US Corp. Co.,Metallpulver G.m.b.H.,True,False,False,False,,False
173,The Torrington Company,"Metallwaaren Gesellschaft m. b. H., of Aachen",False,True,True,True,,False
174,Gillette Safety Rasor Company,Metallwarenvertrieb G.m.b.H.,True,False,False,False,,False
175,International Telephone and Telegraph Corp.,"Mix & Genest Hansawerke , G.m.b.H.",True,False,False,True,,False
176,Corn Products Refining company,Mondamin Gesellschaft,True,False,False,False,,False
177,Armour & Company,Morris & Co. G.m.b.H.,True,False,False,False,,False
178,Moto Meter Gauge & Equipment Corp.,"Moto Meter Gesellschaft, m. b. H.",False,True,True,False,,False
179,"Hugo Stinnes Industries, Inc.",Muelberger & Co. G.m.b.H.,True,False,False,False,,False
180,The National Cash Register Company,National-Krupp Registrier-Kassen G.m.b.H.,True,False,True,True,,False
181,American Radiator & Standard Sanitary Corporation,Nationale Radiator Gesellschaft m.b.H.,True,True,True,True,,False
182,"The International Nickel Company, Inc.","Nickel Informationburo, G.m.b.H.",True,False,False,False,,False
183,Gulf Oil Corporation,Nobel-Good-Group,False,True,False,False,,False
184,North European Oil Corp.,Nord-Europaeische Oel,True,False,False,False,,False
185,Standard Oil Company (New Jersey),Norddeustche Mineraloelwerke Stettin G.m.b.H.,True,False,False,False,,False
186,North European Oil Corp.,Nordeuropaeische Oelgesellschaft m.b.H.,False,False,True,False,,False
187,"Hugo Stinnes Industries, Inc.",Nuernberger Kohlenhandles G.m.b.H.,True,False,False,False,,False
188,O-Cedar Corporation,O-Cedar,False,False,False,False,USC,True
189,Pure Oil Co.,Oelwerke Julius Schindler G.m.b.H.,True,False,False,True,,False
190,The Pure Oil Company,Oelwerke Julius Schindler G.m.b.H.,True,False,False,True,,False
191,Jadev Corporation,Oldenburgische Erdol Gesellschaft m.b.H.,True,True,False,False,,False
192,North European Oil Corp.,Oldenburgische Oelausbeutungesellschaft m.b.H.,False,False,True,False,,False
193,Witroth Corporation,Oppelener Lagerhaus Gesellschaft,True,False,False,False,,False
194,Oppenheimer Casing Co. Del.,Oppenheimer Casing Co. m.b.H. Hamburg,True,False,False,False,,False
