,Master US firm name,Master German firm name,in TFR-500,in Moodys 32,in Moodys 34,in Tenenbaum
198,"United Statess Lines, Co.","Rosskai, G.m.b.H.",True,False,False,False
199,Gillette Safety Rasor Company,"Roth-Buchner, G.m.b.H.",True,False,False,True
200,"Royal Typewriter Company, Inc.","Royal Schreihmaschinen, G.m.b.H.",True,True,False,True
201,Corn Products Refining company,Rudolf Arndt Dextrinfabrik G.m.b.H.,True,False,False,False
202,Hugo Stinnes Corporation,Rudolf Mueller & Soehne G.m.b.H.,True,False,False,False
203,Corn Products Refining company,Saatsuchwirtschaft C. Braune G.m.b.H.,True,False,False,False
204,The Atlantic Refining Company,"Schlafhorst Chemische Werke, G.m.b.H.",True,False,False,False
205,Eugene Dietzgen Co.,"Siegfried-Caragen Gesellschaft fuer Kraftfahrzeuge, m.b.H.",True,False,False,False
206,Submarine Signal Co.,Signal Gesellschaft m.b.H.,True,False,False,False
207,Signode International Limited,Signode System G.m.b.H.,True,False,False,False
208,Signode Steel Strapping Co.,Signode System G.m.b.H.,True,False,False,False
209,Spirella International Incorporated,Spirella Gesellschaft m.b.H.,True,False,False,False
210,"Foreign Investments, Incorporated",Stanley Works,True,False,False,False
211,"Aris Cloves Co., Inc.",Steinberger Bros.,True,False,False,False
212,"Aris Cloves Co., Inc.",Steinberger Bros. Clove Corp. G.m.b.H.,True,False,False,False
213,International Telephone and Telegraph Corp.,Suddeutsche Apparatefabrik Gesellschaft m.b.H.,True,False,False,True
214,Stauffer Chemical Co.,Suddeutsche Chemische Werke,True,False,False,False
215,Swift & Company,"Swift & Company, G.m.b.H.",True,False,False,False
216,Pan American Foreign Corporation (Controlled by Standard Oil Co. [N. J.]),Teerbaustoff Gesellschaft m.b.H.,False,False,True,False
217,International Telephone and Telegraph Corp.,Tefag Radio Vertriebs G.m.b.H.,True,False,False,True
218,International Telephone and Telegraph Corp.,Telmo Telephon und Telegraphen Gesellschaft m.b.H.,True,False,False,True
219,The Atlantic Refining Company,The Atlantic Refining Company Germany GmbH,True,False,True,True
220,The Brecht Corporation,The Brecht Corporation G.m.b.H.,True,False,False,False
221,The Fairbanks Company,The Fairbanks G.m.b.H. Company,True,False,False,False
222,"Berth, Levi & Co. Inc.",The Overseas Casing Co. m.b.H.,True,False,False,False
223,The Stanley Works,The Stanley Works G.m.b.H.,True,True,False,False
224,Armour & Company,Tietgens & Robertson (G.m.b.H.),True,False,False,False
225,Standard Oil Company (New Jersey),Titan-Oel-Gesellschaft m.b.H.,True,False,False,False
226,"Titan Company, Inc.",Titangesellschaft m.b.H.,True,True,True,True
227,Corn Products Refining company,"Transport und Lagerhaus Gesellschaft, m.b.H.",True,False,False,False
228,Trubenizing Process Corporation,"Trubenis Lisensverwertungs, G.m.b.H.",True,False,False,False
229,United Fruit Company,"Unida Schiffstreuhand, G.m.b.H.",True,False,False,False
230,Union Special Machine Co.,Union Special Maschinenfabrik G.m.b.H.,True,False,False,False
231,United Press Associations,United Press (Deutschland) G.m.b.H.,True,False,False,False
232,Pan Foreign Corporation,Vereinigte Asphalt und Teerproducktenfabriken Gesellschaft mit Beschrankter Haftung,True,False,False,False
233,The ARMCO International Corporation,Vereinigte Stahlwerke,False,False,False,True
234,International Affiliated Corporation,W. R. Warner & Co. G.m.b.H.,True,False,False,False
235,Walter Kidde & Company,Walter Kidde G.m.b.H.,True,False,False,False
236,Standard Oil Company (New Jersey),Waried Tankschiff Rhederei G.m.b.H.,True,False,False,False
237,"William R. Warner & Co., Inc.","Warner, W.R. and Co. G.m.b.H.",True,False,False,False
238,Waterman Steamship,Waterman Linien (Vertretung Bremen) G.m.b.H.,True,False,False,False
239,"Hugo Stinnes Industries, Inc.",Welheim Kohlenhandel G.m.b.H.,True,False,False,False
240,"Standard Commercial Tobacco Co., Inc.",Werkhof G.m.b.H.,True,False,False,False
241,Kupfer Bros. Co. Inc.,Werola Krepp & Buntpapierfabrik G.m.b.H.,True,False,False,False
242,"Socony-Vacuum Oil Company, Inc.",West-Oel Gesellschaft m.b.H.,True,True,True,False
243,Western Electric Export Corporation,Western Electric G.m.b.H.,True,False,False,False
244,The Westinghouse Air Brake Company,Westinghouse Bremsen Gesellschaft m.b.H.,True,False,False,False
245,Kupfer Bros. Co. Inc.,Wilheim Stern & Co. G.m.b.H.,True,False,False,False
246,The Dentists' Supply Co. of New York,Zahnfabrik Wienand Soehne & Co.,True,False,False,False
247,National Lead Company,Zinnwerke Wilheimsburg G.m.b.H.,True,False,False,False
248,Gillette Safety Rasor Company,Zoellner Werke G.m.b.H.,True,False,False,False
249,Corn Products Refining company,Zuckerrubensaftfabrik,True,False,False,False
