US Company,TFR-500_link_type,TFR-500,Tenenbaum_link_type,Tenenbaum,Moodys 32_link_type,Moodys 32,Moodys 34_link_type,Moodys 34,HB 32_link_type,HB 32,HB 34_link_type,HB 34,HB GmbH_link_type,HB GmbH
"Standard Brand, Inc.",,False,USO,True,,False,,False,,False,,False,,False
"Standard Commercial Tobacco Co., Inc.",USO,True,,False,USC,True,,False,,False,,False,,False
Standard I.G.,,False,Others,True,,False,,False,,False,,False,,False
Standard Oil Company (Indiana),,False,,False,Others,True,,False,,False,,False,,False
Standard Oil Company (New Jersey),USO,True,USO,True,USO,True,USO,True,USO,True,USO,True,,False
Stauffer Chemical Co.,USO,True,,False,,False,,False,,False,,False,,False
Steinway & Sons,USO,True,,False,,False,,False,,False,,False,,False
Submarine Signal Co.,USO,True,,False,,False,,False,,False,,False,,False
Swift & Company,USO,True,,False,,False,,False,,False,,False,,False
Swift and Company (Illinois),USO,True,,False,,False,,False,,False,,False,,False
"Swiss ""Borvisk"" Company",USO,True,,False,,False,,False,,False,,False,,False
"Th. Goldschmidt Corporation, New York",,False,DEO,True,,False,,False,,False,,False,,False
The ARMCO International Corporation,USO,True,USO,True,,False,,False,,False,,False,,False
"The American Express company, Incorporated.",USO,True,USO,True,,False,,False,,False,,False,,False
The American Laundry Maschinery Co.,USO,True,,False,,False,,False,,False,,False,,False
The Atlantic Refining Company,USO,True,USO,True,,False,USO,True,,False,,False,,False
The Babcock & Wilcox Company,USO,True,,False,,False,,False,,False,USOP,True,,False
The Brecht Corporation,USO,True,,False,,False,,False,,False,,False,,False
"The Coca-Cola Company (101 W. 10th Street Wilmington, Delaware)",USO,True,USO,True,,False,,False,,False,,False,USO,True
"The Coca-Cola Export Corporation (101 W. 10th Street Wilmington, Delaware)",USO,True,,False,,False,,False,,False,,False,,False
The Deimel Linen-Mesh System Company,USO,True,,False,,False,,False,,False,,False,,False
The Dentists' Supply Co. of New York,USO,True,,False,,False,,False,,False,,False,,False
The Dorr Co.,USO,True,USO,True,,False,,False,,False,,False,,False
The Durer Corporation,USO,True,,False,,False,,False,,False,,False,,False
The Fairbanks Company,USO,True,,False,,False,,False,,False,,False,USO,True
The Forak Company,USO,True,,False,,False,,False,,False,,False,,False
The Goodyear Tire & Rubber Company,,False,USO,True,,False,USO,True,USOP,True,USOP,True,,False
The Guardian Life Insurance Company of America,USO,True,,False,,False,,False,,False,,False,,False
The Hobart Manufacturing Company,USO,True,,False,USO,True,USO,True,,False,,False,USO,True
The Hollerith Co.,,False,USO,True,,False,,False,,False,,False,,False
