German subsidiary,TFR-500_link_type,TFR-500_org_type,TFR-500,Tenenbaum_link_type,Tenenbaum_org_type,Tenenbaum,Moodys 32_link_type,Moodys 32_org_type,Moodys 32,Moodys 34_link_type,Moodys 34_org_type,Moodys 34,IDed in HB 32_link_type,IDed in HB 32_org_type,IDed in HB 32,IDed in HB 34_link_type,IDed in HB 34_org_type,IDed in HB 34,IDed in HB GmbH_link_type,IDed in HB GmbH_org_type,IDed in HB GmbH
Eisenbahn Verkehrsmittel A.-G.,,,False,,,False,USC,AG,True,USC,AG,True,,,False,,,False,,,False
Eisenhof G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Eisenlager G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
"Electrochemical Works of Munich, Germany",,,False,,,False,,,False,USC,Others,True,,,False,,,False,,,False
Elektrolux,,,False,,,False,,,False,,,False,,,False,,,False,USO,GmbH,True
Elektrolux A.G.,,,False,USO,AG,True,,,False,,,False,,,False,,,False,,,False
Elisabeth Arden G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Emas A.G. fuer Strassenbaubedarf,,,False,,,False,,,False,USO,AG,True,,,False,,,False,,,False
"Emas Gesellschaft Fuer Strassenbaubedarf, m.b.H.",USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Emge-Union Oesterreichische Telephonwerke A.G.,,,False,USO,AG,True,,,False,,,False,,,False,,,False,,,False
Emil Frei Art Glass Co.,USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Emil Koster Aktiengesellschaft,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
"Emlichheimer Kartoffelmehlfabrik, Aktiengesellschaft,",,,False,,,False,,,False,,,False,USC,AG,True,,,False,,,False
Enziger Union Werke AG,,,False,DEO,AG,True,,,False,,,False,,,False,,,False,,,False
Equitable Life Assurance Society of the United States,USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
"Erdoelwerke Wathlingen, Wuerttembergische Mineralgesellschaft m.b.H.",,,False,,,False,,,False,USO,GmbH,True,,,False,,,False,,,False
"Erdolbergbau A.G., Celle",USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
Erkensator G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Ethyl Gesellschaft m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Euphalt Gesellschaft m.b.H.,,,False,,,False,,,False,USO,GmbH,True,,,False,,,False,,,False
Europäische Tanklager und Transport AG,USO,AG,True,USO,AG,True,,,False,,,False,,,False,,,False,,,False
Europäische Titeflex Metallschlauch-Aktiengesellschaft,USO,AG,True,,,False,,,False,,,False,USOP,AG,True,USOP,AG,True,,,False
Explora G.m.b.H.,,,False,,,False,USO,GmbH,True,,,False,,,False,,,False,,,False
F. W. Woolworth Co.,USO,Others,True,USO,GmbH,True,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False
Farsals-Gesellschaft m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Ferdinand Schuchhardt Berliner Fernsprech-und Telegraphenwerk AG,USO,AG,True,USO,AG,True,,,False,,,False,,,False,USOP,AG,True,,,False
Finkenheerder Obstwerke Richard Sonnenberg AG,USO,AG,True,,,False,,,False,,,False,,,False,USC,AG,True,,,False
Fisk Tyre Co. m.b.H.,,,False,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False
Ford-Werke AG,USO,AG,True,USO,AG,True,,,False,,,False,USO,AG,True,USO,AG,True,,,False
Fox Tönende Wochenschau Aktiengesellschaft,USO,AG,True,,,False,USO,AG,True,,,False,USC,AG,True,USC,AG,True,,,False
Fr. Wwe. Wesseling G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Fraenkischer Metallhandel G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Francotype-Gesellschaft of Berlin,,,False,,,False,,,False,USC,GmbH,True,,,False,,,False,,,False
Frederick Wirth & Company G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
"Freidreichstrasse, 12, G.m.b.H.",USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Frigidaire G.m.b.H.,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False
"Fuerstenhof Carlton Hotel, A.G.",USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
Fuhr-Betrieb G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
"Fulda Rubber Co. of Fulda, Germany",,,False,,,False,USC,GmbH,True,,,False,,,False,,,False,,,False
Fullnerwerk G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
"G. Hirsch & Sohn, G.m.b.H. Nuremberg, Germany",USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Gasbrennerfabrikation Aktiengesellschaft.,,,False,,,False,,,False,,,False,,,False,USC,AG,True,,,False
Gebrueder Boewen G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Gebrueder Born G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Gebrueder Hein G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Gemeinnutsige Opel - Wohnban - G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
General Motors G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,USO,GmbH,True
Geo. Borgfeldt & Co. Aktiengesellschaft,,,False,,,False,,,False,,,False,USC,AG,True,USC,AG,True,,,False
German-American Tobacco Co.,,,False,,,False,USC,GmbH,True,,,False,,,False,,,False,USO,GmbH,True
Gesellschaft Fur Telephon-und Telegraphenbeteilungen m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Gesellschaft fur Industriebeteiligungen m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Gesellschaft fur markt und schgerechte Werberatung,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Gesellschaft für Telephon und Telegraphenbeteiligungen G.m.b.H.,,,False,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False
Gew. Lintorfer Erzbergwerke,USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Gew. Selbecker Bergwerks Verein,USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Gewerkschaft Alfred,USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Gewerkschaft Ave 5,USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Gewerkschaft Brigitta,USC,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Gewerkschaft Carlsburg III,USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Gewerkschaft Carolus Magnus,USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Gewerkschaft Diergardt-Mevissen,USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Gewerkschaft Konberg II,USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Gewerkschaft Mathias Stinnes,USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Gewerkschaft Ostfeld 1,USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Gewerkschaft Regina zu Caan,,,False,,,False,,,False,USO,GmbH,True,,,False,,,False,,,False
"Gillette Safety Razor Company, G.m.b.H.",USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False,,,False,USO,GmbH,True
"Glasfabrik, Aktiengesellschaft.",,,False,,,False,,,False,,,False,,,False,USC,AG,True,,,False
Glaswerke Ruhr A.G.,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
Gluckskles Import and Export Gesellschaft m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Gluckskles Michgesellschaft m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Godecke & Co. Chemische Fabrik A.G.,USO,AG,True,USO,AG,True,,,False,,,False,,,False,,,False,,,False
Godecke & Co. Chemische Fabrik und Export A.G.,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
